From,To,Length
13,12,0.384057971
13,14,0.322981366
13,15,0.270186335
13,16,0.318668047
13,17,0.326259489
13,18,0.319358178
13,19,0.352484472
13,20,0.302449965
13,21,0.293478261
13,22,0.321083506
13,23,0.330745342
13,24,0.332125604
13,25,0.304692892
13,26,0.229986197
13,27,0.222394755
13,28,0.264837819
13,29,0.170634921
13,30,0.213940649
13,31,0.232401656
13,32,0.305383023
13,33,0.246549344
13,34,0.330917874
13,35,0.310559006
13,36,0.33868185
13,37,0.346963423
13,38,0.342822636
13,39,0.3436853
13,40,0.333678399
13,41,0.311076605
13,42,0.321256039
13,43,0.296756384
13,44,0.304175293
13,45,0.284851622
13,46,0.31142167
13,47,0.299689441
13,48,0.284161491
13,49,0.215493444
13,50,0.224982747
13,51,0.253968254
14,1,0.19168392
14,2,0.202380952
14,3,0.20721187
14,4,0.258626639
14,5,0.237060041
14,6,0.25
14,7,0.275534852
14,8,0.276224983
14,10,0.278295376
14,11,0.239130435
14,12,0.345410628
14,13,0.322981366
14,15,0.24068323
14,16,0.292270531
14,17,0.28657695
14,18,0.291752933
14,19,0.314182195
14,20,0.277260179
14,21,0.24689441
14,22,0.277087647
14,23,0.270876467
14,24,0.276915114
14,25,0.23447205
14,26,0.194616977
14,27,0.180814355
14,28,0.227225673
14,29,0.153554175
14,30,0.180124224
14,31,0.202035887
14,32,0.277950311
14,33,0.238267771
14,34,0.299344375
14,35,0.289855072
14,36,0.267253278
14,37,0.278812974
14,38,0.286059351
14,39,0.298309179
14,40,0.281055901
14,41,0.282608696
14,42,0.279848171
14,43,0.265182885
14,44,0.277260179
14,45,0.265182885
14,46,0.278467909
14,47,0.267770876
14,48,0.257936508
14,49,0.2084196
14,50,0.224982747
14,51,0.230676329
15,1,0.135438233
15,2,0.162180814
15,3,0.155279503
15,4,0.194962043
15,5,0.166321601
15,6,0.206521739
15,7,0.234126984
15,8,0.236887509
15,10,0.21773637
15,11,0.222049689
15,12,0.266218081
15,13,0.270186335
15,14,0.24068323
15,16,0.286922015
15,17,0.257763975
15,18,0.285886818
15,19,0.261042098
15,20,0.238267771
15,21,0.181677019
15,22,0.222567288
15,23,0.201690821
15,24,0.212042788
15,25,0.189268461
15,26,0.144064872
15,27,0.131124914
15,28,0.185645273
15,29,0.108350587
15,30,0.140269151
15,31,0.175120773
15,32,0.229296066
15,33,0.198585231
15,34,0.262077295
15,35,0.27294686
15,36,0.231021394
15,37,0.238440304
15,38,0.238440304
15,39,0.236197378
15,40,0.238612836
15,41,0.226363009
15,42,0.238095238
15,43,0.210662526
15,44,0.225327812
15,45,0.220496894
15,46,0.235334714
15,47,0.235679779
15,48,0.25431332
15,49,0.179089027
